id,word,definition,grade,phonetic_spelling,rating,source,version,user_id,created_at
06cae5cf-a71f-4b42-b550-5bd1377d6fe6,Pleasing,Satisfying or appealing.,5,/ˈpliːzɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
07196baa-2199-4c10-b608-e88cdf7697db,Waiting,The action of staying where one is or delaying action until a particular time or event.,3,/ˈweɪtɪŋ/,~,System,V01,,2025-01-25 13:58:03.096089+00
0732c730-173a-4ca9-8da9-511fd0022f71,Trapped,Caught in a place or situation from which it is difficult or impossible to escape.,2,/træpt/,-,System,V01,,2025-01-25 13:58:03.096089+00
07b78f68-9982-4bb9-b131-5127f0c9bc06,Startling,"Very surprising, astonishing, or remarkable.",2,/ˈstɑrtəlɪŋ/,-,System,V01,,2025-01-25 13:58:03.096089+00
089d4cd3-ed40-43ac-a482-808076d138e7,Resentfulness,The quality of feeling or expressing bitterness or indignation at having been treated unfairly.,2,/rɪˈzɛntfʊlnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
08eb5c2f-8978-42ac-a6a9-088760e920f9,Elimination,The complete removal or destruction of something.,3,/ɪˌlɪmɪˈneɪʃən/,~,System,V01,,2025-01-25 13:58:03.096089+00
08f87f6f-703b-42b0-9fe4-8ae65396a073,Trustworthiness,The ability to be relied on as honest or truthful.,5,/ˈtrʌstwɜːrðɪnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
098ce7e2-602e-4726-bc47-d4c5e274664f,Devastation,Great destruction or damage.,1,/ˌdɛvəˈsteɪʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
0c52ac38-65de-4b37-9964-52648435647e,Intoxication,"The state of being intoxicated, especially by alcohol.",2,/ɪnˌtɒksɪˈkeɪʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
0c5d0c8c-490b-4e17-92f0-e1fcadfa24d9,Blessed,Made holy; consecrated.,5,/blɛst/,+,System,V01,,2025-01-25 13:58:03.096089+00
0d157747-fbdc-4894-88fd-134fdd68dbb4,Antagonism,Active hostility or opposition.,2,/ænˈtæɡənɪzəm/,-,System,V01,,2025-01-25 13:58:03.096089+00
0d5ca138-8d4c-479b-bfc3-5499259cf2f3,Resilience,The capacity to recover quickly from difficulties; toughness.,5,/rɪˈzɪliəns/,+,System,V01,,2025-01-25 13:58:03.096089+00
0d62feea-3d79-4d27-8bd4-240599e73dfd,Thankful,Pleased and relieved.,5,/ˈθæŋkfəl/,+,System,V01,,2025-01-25 13:58:03.096089+00
0dce8ca2-a60d-4d29-b142-e8507f64b7f9,Coercion,The practice of persuading someone to do something by using force or threats.,1,/koʊˈɜːrʒən/,-,System,V01,,2025-01-25 13:58:03.096089+00
0eb4134e-0557-4fde-b516-2498577c84a9,Confidence,The feeling or belief that one can rely on someone or something; firm trust.,5,/ˈkɒnfɪdəns/,+,System,V01,,2025-01-25 13:58:03.096089+00
0fb9dd25-aac2-4460-85c9-692976aa031b,Vibration,An instance of vibrating.,3,/vaɪˈbreɪʃən/,~,System,V01,,2025-01-25 13:58:03.096089+00
1015eb47-e5c3-40b7-b49e-4514a146b06b,Disgust,A strong feeling of dislike or disapproval.,1,/dɪsˈɡʌst/,-,System,V01,,2025-01-25 13:58:03.096089+00
1021fdec-98bd-41ce-b7c7-1cfcee09cc7d,Insurance,"A practice or arrangement by which a company or government agency provides a guarantee of compensation for specified loss, damage, illness, or death in return for payment of a premium.",3,/ɪnˈʃʊərəns/,~,System,V01,,2025-01-25 13:58:03.096089+00
11355ac3-51f9-49c5-8b11-d1b2b20d3f9d,Trauma,A deeply distressing or disturbing experience.,1,/ˈtrɔːmə/,-,System,V01,,2025-01-25 13:58:03.096089+00
11773779-517b-40a0-9cbe-51a52cfecc33,Protection,The action of protecting someone or something.,5,/prəˈtɛkʃən/,+,System,V01,,2025-01-25 13:58:03.096089+00
119f69af-84f5-45a7-aefa-884af1daa189,Causing,The act of making something happen.,3,/ˈkɔːzɪŋ/,~,System,Default,,2025-01-25 13:58:03.096089+00
11bf907d-3cd1-474b-92cd-37ad1e4e54b1,Signaling,"The action of conveying information or instructions by means of a gesture, action, or sound.",3,/ˈsɪɡnəlɪŋ/,~,System,V01,,2025-01-25 13:58:03.096089+00
1221af85-ff00-494f-bf2e-e7295fb860f2,Boldness,"The quality of having a strong, vivid, or daring appearance.",4,/ˈboʊldnəs/,+,System,Default,,2025-01-25 13:58:03.096089+00
122afb13-7822-4837-be87-8d999b2724e2,Temperance,Moderation or self-restraint.,4,/ˈtɛmpərəns/,+,System,Default,,2025-01-25 13:58:03.096089+00
135ee66f-4704-4e1a-a760-3b86bc2ab304,Grounded,Well balanced and sensible.,4,/ˈɡraʊndɪd/,+,System,V01,,2025-01-25 13:58:03.096089+00
141e59bf-2f2f-48b9-876c-d77e575eb2bb,Quiet,Making little or no noise.,4,/ˈkwaɪət/,+,System,V01,,2025-01-25 13:58:03.096089+00
143c9041-a150-4c59-a3b4-3836387028b7,Resonating,"Producing or being filled with a deep, full sound.",4,/ˈrɛzəˌneɪtɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
1570d97b-e193-4f15-b2d4-863818ae10d0,Censorship,"The suppression or prohibition of any parts of books, films, news, etc. that are considered obscene, politically unacceptable, or a threat to security.",2,/ˈsɛnsərˌʃɪp/,-,System,V01,,2025-01-25 13:58:03.096089+00
1596edc6-528b-4fc3-ad28-a43df35ba996,Repulsiveness,The quality of being repulsive.,2,/rɪˈpʌlsɪvnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
15a95ee0-5dc6-42fc-883e-2e0d53a00201,Genuine,Truly what something is said to be; authentic.,5,/ˈdʒɛnjʊɪn/,+,System,V01,,2025-01-25 13:58:03.096089+00
161593fc-ee71-4685-99eb-695adc7a8f99,Extreme,Reaching a high or the highest degree; very great.,3,/ɪkˈstriːm/,~,System,V01,,2025-01-25 13:58:03.096089+00
162df996-755e-4332-9671-69190a8591ec,Astoundedment,The state of being greatly surprised or amazed.,5,/əˈstaʊndɪdmənt/,+,System,V01,,2025-01-25 13:58:03.096089+00
16305900-b759-4c37-a551-f353795ca295,Uplifting,Morally or spiritually elevating; inspiring happiness or hope.,5,/ʌpˈlɪftɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
16caba5b-4dc6-4622-86b1-93189b755687,Thrilling,Causing excitement and pleasure; exhilarating.,5,/ˈθrɪlɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
18d7c35b-3b4b-4371-a83a-4d91169bf086,Relaxation,The state of being free from tension and anxiety.,5,/ˌrɪˌlækˈseɪʃən/,+,System,V01,,2025-01-25 13:58:03.096089+00
1ab4f904-95fb-4ecf-bc4d-b824dab68fcb,Calm,"Not showing or feeling nervousness, anger, or other strong emotions.",5,/kɑm/,+,System,V01,,2025-01-25 13:58:03.096089+00
1b142de5-4749-4e15-97fb-d2aa0c1ad616,Child-like,Having qualities associated with a child.,4,/tʃaɪld laɪk/,+,System,Default,,2025-01-25 13:58:03.096089+00
1b410eef-3f74-4831-9128-f4a32394646e,Glory,High renown or honor won by notable achievements.,5,/ˈɡlɔːri/,+,System,V01,,2025-01-25 13:58:03.096089+00
1c69a383-ef63-4bf8-add5-ddf4ea6819ad,Yearning,A feeling of intense longing for something.,3,/ˈjɜːrnɪŋ/,~,System,Default,,2025-01-25 13:58:03.096089+00
1d2efb64-e7e2-4537-a292-8731bb1b92ae,Exasperation,A feeling of intense irritation or annoyance.,2,/ɪɡˌzæspəˈreɪʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
1e613c58-30ff-4347-98b1-85755df9bf87,Uncaring,Not displaying sympathy or concern for others.,2,/ˌʌnˈkɛrɪŋ/,-,System,V01,,2025-01-25 13:58:03.096089+00
210968b0-30ce-4feb-9c9d-ac3b683044f1,Mocking,Making fun of someone or something in a cruel way; derisive.,1,/ˈmɒkɪŋ/,-,System,V01,,2025-01-25 13:58:03.096089+00
2166d24a-3d4c-4384-814e-fe2c3216ebe0,A cut above,Significantly better than others.,5,/ə kʌt əˈbʌv/,+,System,V01,,2025-01-25 13:58:03.096089+00
222dada4-0d59-469c-84c1-d844494b77e0,Fear,"An unpleasant emotion caused by the belief that someone or something is dangerous, likely to cause pain, or a threat.",2,/fɪər/,-,System,V01,,2025-01-25 13:58:03.096089+00
227e77eb-65ae-4427-9da7-f9e1e372eb56,Forgiving,Ready and willing to forgive.,5,/fərˈɡɪvɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
228432ab-489d-444a-95d1-46553ad848c0,Superb,Excellent; very good.,5,/suːˈpɜrb/,+,System,V01,,2025-01-25 13:58:03.096089+00
22bc7c49-dc28-4708-a44e-c15c5ce68e9e,Vindictiveness,The quality of having or showing a strong or unreasoning desire for revenge.,2,/vɪnˈdɪktɪvnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
22e75136-fcc0-4536-be09-8ed3260ca341,Distress,"Extreme anxiety, sorrow, or pain.",2,/dɪˈstrɛs/,-,System,V01,,2025-01-25 13:58:03.096089+00
2366ec12-c723-4699-b095-f48aa7c79981,On top of the world,Feeling very happy or elated.,5,/ɒn tɒp ʌv ðə wɜrld/,+,System,V01,,2025-01-25 13:58:03.096089+00
23ce85e8-b0ec-4bb4-a513-2f3f7605dc09,Condemning,Expressing complete disapproval of something.,2,/kənˈdɛmɪŋ/,-,System,V01,,2025-01-25 13:58:03.096089+00
23e39e23-8f56-4ec9-8e10-24f3d54f8836,Dread,Great fear or apprehension.,2,/drɛd/,-,System,V01,,2025-01-25 13:58:03.096089+00
24655ccb-067e-4eb7-ab2d-d7c3217b157b,Disillusionment,A feeling of disappointment resulting from the discovery that something is not as good as one believed it to be.,2,/ˌdɪsɪˈluːʒənmənt/,-,System,V01,,2025-01-25 13:58:03.096089+00
2511a8c6-0bea-4b91-a59c-03493cc1076c,Seeking,The act of looking for or trying to find something.,4,/ˈsiːkɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
266dd5b6-0b43-4243-acfd-15a9374e7788,Convenience,The state of being able to proceed with something with little effort or difficulty.,4,/kənˈvinjəns/,+,System,V01,,2025-01-25 13:58:03.096089+00
269f7a3d-ac7b-4ae7-9164-9ff59b38e217,Joyousness,The state of being full of joy.,5,/ˈdʒɔɪəsnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
26d16b31-bad3-407d-b8e8-dc9b9a194056,Hedonism,The pursuit of pleasure; sensual self-indulgence.,3,/ˈhiːdənɪzəm/,~,System,V01,,2025-01-25 13:58:03.096089+00
270bcecc-fe93-4983-998a-4f06677de03d,Courageousness,The quality of being brave.,5,/kəˈreɪdʒəsnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
2719a830-be1e-433e-aafc-013f7f3ce01d,Enthusiasm,"Intense and eager enjoyment, interest, or approval.",5,/ɪnˈθjuːziæzəm/,+,System,V01,,2025-01-25 13:58:03.096089+00
2790a8c3-beff-468a-8ad1-3be38fea08dc,Stressed,Experiencing mental or emotional strain or tension.,2,/strɛst/,-,System,V01,,2025-01-25 13:58:03.096089+00
27ab07bd-7921-44e9-8279-498acea9e092,Gratitude,The quality of being thankful; readiness to show appreciation for and to return kindness.,5,/ˈɡrætɪˌtjuːd/,+,System,V01,,2025-01-25 13:58:03.096089+00
284c7c7b-1da2-4b2a-9536-3b0f07df6cbb,Premonition,A strong feeling that something is about to happen.,3,/ˌprɛməˈnɪʃən/,~,System,Default,,2025-01-25 13:58:03.096089+00
2863f9f0-64e6-41a5-9237-17e8e8a6d391,Eagerness,Enthusiasm to do or to have something.,4,/ˈiːɡərnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
2871b23a-770e-4bdb-abd8-0a1237ab5a89,Keenness,The quality of being eager or enthusiastic.,4,/ˈkiːnnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
29641938-ee8c-41e0-a8f2-6176dbcc772c,Disappointment,Sadness or displeasure caused by the non-fulfillment of one's hopes or expectations.,1,/ˌdɪsəˈpɔɪntmənt/,-,System,V01,,2025-01-25 13:58:03.096089+00
2a139153-c0d6-470c-9d5a-354341fb79be,Hesitation,The action of pausing or hesitating before saying or doing something.,2,/ˌhɛzɪˈteɪʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
2b1eed1a-0961-402a-9518-07b107fc7a21,Prayer,A solemn request for help or expression of thanks addressed to God.,4,/prɛr/,+,System,Default,,2025-01-25 13:58:03.096089+00
2c034b1c-3b67-4b8b-bc45-f33934521d2d,Pure being,The state of existing in a pure and untainted form.,5,/pjʊr ˈbiːɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
2cbb210c-2902-48ef-ae38-a64e3f433ffe,Collision,An instance of one moving object or person striking violently against another.,2,/kəˈlɪʒən/,-,System,V01,,2025-01-25 13:58:03.096089+00
2d46223f-4076-4c36-a578-36e8db2d850b,Blushing,Developing a pink tinge in the face from embarrassment or shame.,4,/ˈblʌʃɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
2d84f886-0484-40ff-af64-f4674d9fbaa0,Comfortability,The quality of being comfortable.,5,/ˌkʌmfərtəˈbɪlɪti/,+,System,V01,,2025-01-25 13:58:03.096089+00
2e17e98f-2b69-4dff-85dd-57a799c7c4ed,Supportive,Providing encouragement or emotional help.,5,/səˈpɔrtɪv/,+,System,V01,,2025-01-25 13:58:03.096089+00
2f051cbf-5663-48ef-a516-94e2681bfe97,Unassuming,Not pretentious or arrogant; modest.,4,/ˌʌnəˈsuːmɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
2f3b8668-2350-43be-bb7f-d4c47a29d0f6,Alienation,The state or experience of being isolated from a group or an activity to which one should belong or in which one should be involved.,2,/ˌeɪliəˈneɪʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
2fa75774-a4d0-410b-bddf-72a75e74fa3c,Protecting,The act of keeping someone or something safe.,4,/prəˈtɛktɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
301069a5-d460-43b0-9a53-ba3c549b4d26,Safety,"The condition of being protected from or unlikely to cause danger, risk, or injury.",5,/ˈseɪfti/,+,System,V01,,2025-01-25 13:58:03.096089+00
302c6095-8c48-4326-a9e1-787b674377e3,Nihilism,"The rejection of all religious and moral principles, often in the belief that life is meaningless.",2,/ˈnaɪɪˌlɪzəm/,-,System,V01,,2025-01-25 13:58:03.096089+00
3039af76-932b-4199-bca5-932ffb38b1b4,Solidarity,"Unity or agreement of feeling or action, especially among individuals with a common interest; mutual support within a group.",5,/ˌsɒlɪˈdærɪti/,+,System,V01,,2025-01-25 13:58:03.096089+00
31418646-0773-4299-abf9-6d33b8f48c49,Frugality,The quality of being economical with money or food; thriftiness.,4,/fruːˈɡælɪti/,+,System,V01,,2025-01-25 13:58:03.096089+00
314bbf42-d2fd-4d68-a7f5-2ad4218ed655,Disastrousness,The quality of being disastrous.,1,/dɪˈzæstrəsnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
31a1d2ea-243f-4e7e-9dc1-380f933da621,Transforming,Making a thorough or dramatic change.,5,/trænsˈfɔːrmɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
31e6cff0-ed55-4e0d-b21e-cb54ce7519d2,Balanced,Being in a state of equilibrium.,4,/ˈbælənst/,+,System,V01,,2025-01-25 13:58:03.096089+00
320e20ff-dae2-4036-bdf4-422f825e55e8,Poisonous,Causing or capable of causing death or illness if taken into the body.,1,/ˈpɔɪzənəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
3230a9d4-a85b-4af8-a7fe-a406e0cebd04,Blessing,God's favor and protection.,5,/ˈblɛsɪŋ/,+,System,V01,,2025-01-25 13:58:03.096089+00
33a529dc-0815-4c73-ada7-be19b244c35a,Righteous,Morally right or justifiable.,3,/ˈraɪtʃəs/,~,System,Default,,2025-01-25 13:58:03.096089+00
362068f0-3748-4050-aa11-947a0831f37e,Whimsy,Playfully quaint or fanciful behavior or humor.,3,/ˈwɪmzi/,~,System,V01,,2025-01-25 13:58:03.096089+00
362fa60a-3aab-451a-ada0-2cd0201444a0,Soul,"The spiritual or immaterial part of a human being or animal, regarded as immortal.",5,/soʊl/,+,System,V01,,2025-01-25 13:58:03.096089+00
3649846f-321b-4f58-993e-8636102797b4,Zeal,Great energy or enthusiasm in pursuit of a cause or an objective.,5,/zil/,+,System,V01,,2025-01-25 13:58:03.096089+00
372aa8dd-6c46-424c-a8a4-e1378181f935,Roaring,"Making a loud, deep sound.",3,/ˈrɔːrɪŋ/,~,System,Default,,2025-01-25 13:58:03.096089+00
3757c38f-ee64-4acf-98f2-31fe78718c3f,Limitlessness,The state of having no limits.,3,/ˈlɪmɪtlɪsnəs/,~,System,Default,,2025-01-25 13:58:03.096089+00
3869b86d-0c3b-4f36-9942-4206dd379114,Romance,A feeling of excitement and mystery associated with love.,5,/roʊˈmæns/,+,System,V01,,2025-01-25 13:58:03.096089+00
392355fc-d137-46be-aca6-401fd5155d1d,Outrageousness,The quality of being shockingly bad or excessive.,2,/aʊtˈreɪdʒəsnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
3926ca0c-44a5-4eb8-82df-147949244b8a,Extra,Added to an existing or usual amount or number.,3,/ˈɛkstrə/,~,System,V01,,2025-01-25 13:58:03.096089+00
39906c34-f472-42a4-b357-ba00db952f2d,Worth,The value equivalent to that of someone or something under consideration; the level at which someone or something deserves to be valued or rated.,5,/wɜrθ/,+,System,V01,,2025-01-25 13:58:03.096089+00
39d63ff2-1676-4bae-9fa3-1a93edd56f0b,Replanting,The act of planting something again.,4,/riˈplæntɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
3a46c330-293b-4e7f-af8b-dd6a1510c7c6,Unstable,"Prone to change, fail, or give way; not stable.",2,/ʌnˈsteɪbəl/,-,System,V01,,2025-01-25 13:58:03.096089+00
3abb5d38-e2fc-41af-ad29-b8cd4e1579ad,Earnestness,Sincere and intense conviction.,4,/ˈɜrnɪstnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
3bd1a300-e05f-4643-94fb-218c1fefd396,Adequacy,The state of being sufficient for the purpose concerned.,4,/ˈædɪkwəsi/,+,System,V01,,2025-01-25 13:58:03.096089+00
3cd813d0-7175-43fd-a3d3-216a05aa9645,Placid,Not easily upset or excited.,4,/ˈplæsɪd/,+,System,V01,,2025-01-25 13:58:03.096089+00
3d3bb6ff-883e-4cfc-8404-7abe21fd691c,Sincere,Free from pretense or deceit; proceeding from genuine feelings.,5,/sɪnˈsɪər/,+,System,V01,,2025-01-25 13:58:03.096089+00
3e49b98f-54aa-49cf-8d1a-28a5d1a00ab6,Caution,Care taken to avoid danger or mistakes.,3,/ˈkɔːʃən/,~,System,V01,,2025-01-25 13:58:03.096089+00
3e950269-c4d4-4880-8b8c-1ca674f36363,Discounting,The action of reducing the price of something.,3,/dɪsˈkaʊntɪŋ/,~,System,V01,,2025-01-25 13:58:03.096089+00
3ec8674b-5a8b-45c8-843b-d31480ec5591,Save,To keep safe or rescue from harm or danger.,5,/seɪv/,+,System,V01,,2025-01-25 13:58:03.096089+00
3eece981-35c2-4452-b503-d9e088315020,Embarrassment,"A feeling of self-consciousness, shame, or awkwardness.",2,/ɪmˈbærəsmənt/,-,System,V01,,2025-01-25 13:58:03.096089+00
3f0daadc-74d1-46ba-83b1-11d9e43d7b59,Spiteful,Showing or caused by malice.,2,/ˈspaɪtfʊl/,-,System,V01,,2025-01-25 13:58:03.096089+00
3f2296c9-265f-4da0-adaa-072ae8a0fa3e,Quarrelsomeness,The quality of being prone to argue or disagree.,2,/ˈkwɒrəlsəmnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
3f9b203e-fd4c-4063-a64c-a87a0754fe98,Fatigue,Extreme tiredness resulting from mental or physical exertion or illness.,2,/fəˈtiːɡ/,-,System,V01,,2025-01-25 13:58:03.096089+00
41cbe248-9dbe-4144-9e6c-b52e3b14378f,Pathetic,"Arousing pity, especially through vulnerability or sadness.",2,/pəˈθɛtɪk/,-,System,V01,,2025-01-25 13:58:03.096089+00
41e8d301-f1d4-4d5f-b759-93e60eea9e47,Contentment,A state of happiness and satisfaction.,5,/kənˈtɛntmənt/,+,System,V01,,2025-01-25 13:58:03.096089+00
43763c9f-4e51-4a26-8e40-8e1802de1eb3,Light-heartedness,The quality of being cheerful and carefree.,5,/ˌlaɪtˈhɑrtɪdnəs/,+,System,V01,,2025-01-25 13:58:03.096089+00
448778f0-ca18-4377-9820-5e05f353d28d,Encouragement,"The action of giving someone support, confidence, or hope.",5,/ɪnˈkɜrɪdʒmənt/,+,System,V01,,2025-01-25 13:58:03.096089+00
44d08b5d-4092-450c-a87f-06752ed529ae,Radiance,Light or heat as emitted or reflected by something.,5,/ˈreɪdiəns/,+,System,V01,,2025-01-25 13:58:03.096089+00
44fd6afb-1602-4d9a-9d15-d0a0f97fca8c,Panicked,Feeling or showing sudden uncontrollable fear or anxiety.,2,/ˈpænɪkt/,-,System,V01,,2025-01-25 13:58:03.096089+00
45123316-0827-45d9-b418-2aaef81bfe5e,Cowardliness,Lack of bravery.,1,/ˈkaʊərdlɪnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
451b9c0b-7b96-4442-85c8-310d71d84da8,Tribalism,The state or fact of being organized in a tribe or tribes.,2,/ˈtraɪbəlɪzəm/,-,System,V01,,2025-01-25 13:58:03.096089+00
45c7ee56-8f6e-4d9e-bb7e-49198a5f49cf,Adapting,The act of making something suitable for a new use or purpose.,4,/əˈdæptɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
45e0ef7d-111e-4738-a076-382b7af86006,Attracting,The act of drawing attention or interest.,4,/əˈtræktɪŋ/,+,System,Default,,2025-01-25 13:58:03.096089+00
46321c23-f449-4a1a-ac8c-e69042dde0c1,Gratification,"Pleasure, especially when gained from the satisfaction of a desire.",5,/ˌɡrætɪfɪˈkeɪʃən/,+,System,V01,,2025-01-25 13:58:03.096089+00
464c4fcd-a773-4a56-8ecd-df96e696612d,Seizure,"A sudden attack of illness, especially a stroke or an epileptic fit.",2,/ˈsiːʒər/,-,System,V01,,2025-01-25 13:58:03.096089+00
46b8ea1e-6491-432b-a4c1-a54784889b3c,Sister,A female sibling.,3,/ˈsɪstər/,~,System,Default,,2025-01-25 13:58:03.096089+00
47ddbd79-e41f-48c3-af53-dbf2faaab220,Argumentativeness,The quality of being prone to argue.,2,/ˌɑrɡjəˈmɛntətɪvnəs/,-,System,V01,,2025-01-25 13:58:03.096089+00
480c55d4-cec3-48fb-a2fe-5a7113153626,Supported,Given assistance or backing.,5,/səˈpɔrtɪd/,+,System,V01,,2025-01-25 13:58:03.096089+00
48229c00-4898-46e7-9fa9-b24d50cf45e3,Cooperation,The process of working together to the same end.,5,/koʊˌɒpəˈreɪʃən/,+,System,V01,,2025-01-25 13:58:03.096089+00
4872c0f4-25ce-4573-b988-fc69f829b1ed,Spirit,The non-physical part of a person regarded as their true self.,3,/ˈspɪrɪt/,~,System,Default,,2025-01-25 13:58:03.096089+00
49277c5e-2ece-4478-8494-85e602fd6bd2,Apathetic,"Lack of interest, enthusiasm, or concern for feelings toward something or someone.",2,/ˈæpəθi/,-,System,V01,,2025-01-25 13:58:03.096089+00
49f54aaa-7e8f-4add-8582-34086551d0b5,Self love,Regard for one's own well-being and happiness.,5,/sɛlf lʌv/,+,System,Default,,2025-01-25 13:58:03.096089+00
4af1d4b9-fc6d-49f8-a5f4-82aeb51bbf9f,Frisky,Playful and full of energy.,4,/ˈfrɪski/,+,System,V01,,2025-01-25 13:58:03.096089+00
4bb0c239-f8ed-4fdb-9803-9495de9a3c6a,Screen,"A flat panel or area on an electronic device such as a television, computer, or smartphone, on which images and data are displayed.",3,/skriːn/,~,System,V01,,2025-01-25 13:58:03.096089+00
4c074a68-d331-4a58-8f61-87c4e4ce24bc,Uncomfortable,Causing or feeling slight pain or physical discomfort.,2,/ʌnˈkʌmftərbəl/,-,System,V01,,2025-01-25 13:58:03.096089+00
4cb1b8fe-324d-407b-a23b-fda6971833fc,Efficiency,The state or quality of being efficient.,5,/ɪˈfɪʃənsi/,+,System,V01,,2025-01-25 13:58:03.096089+00
4cbf9129-4f2e-4af2-94be-dfca3a9d24ea,Repetition,The action of repeating something that has already been said or written.,3,/ˌrɛpɪˈtɪʃən/,~,System,V01,,2025-01-25 13:58:03.096089+00
4cd86993-a3e8-4cd4-8f16-44664e395199,Heritage,Property that is or may be inherited.,3,/ˈhɛrɪtɪdʒ/,~,System,Default,,2025-01-25 13:58:03.096089+00
4d670a61-ddc4-4749-a593-7e16d7684b8f,Mobbing,The act of a group of people crowding around someone in an aggressive or excited way.,1,/ˈmɒbɪŋ/,-,System,V01,,2025-01-25 13:58:03.096089+00
4e2c284d-15bf-48f4-89ff-2fa2f173a699,Enraged,Very angry; furious.,2,/ɪnˈreɪdʒd/,-,System,V01,,2025-01-25 13:58:03.096089+00
4ef8a38b-7015-4c2a-a275-79336895b265,Isolation,The process or fact of isolating or being isolated.,2,/ˌaɪsəˈleɪʃən/,-,System,V01,,2025-01-25 13:58:03.096089+00
503f2394-6b6a-49eb-b20b-9a030a459fb2,Definite,Clearly stated or decided; not vague or doubtful.,4,/ˈdɛfɪnɪt/,+,System,V01,,2025-01-25 13:58:03.096089+00
5044f8a6-beb5-4ec4-89d9-4980d88627b8,Deplorability,The quality of being deserving strong condemnation.,1,/dɪˌplɔːrəˈbɪlɪti/,-,System,V01,,2025-01-25 13:58:03.096089+00
50fcd3a3-bdbe-4e3d-b27b-fe4ced7c4441,Exhilaration,"A feeling of excitement, happiness, or elation.",5,/ɪɡˌzɪləˈreɪʃən/,+,System,V01,,2025-01-25 13:58:03.096089+00
